noncompliance,股东权益/负债合计_EquTotLia,股东类别_SHType,每股收益(元/股)_BasicEPS,每股经营活动现金流量(元/股)_OpeCFPS,营业利润/营业总收入()_OpePrTOR,净利润()_NetPrf,有形净值债务率(%)_DbTanEquRt,每股现金及现金等价物余额(元/股)_CCEPS,资产负债率(%)_DbAstRt,经营现金净流量(元)_NOCF,股东总户数(户)_SHNum,利润总额增长率(%)_TotPrfGrRt,营业收入增长率(%)_OpeIncmGrRt,户均持股数(股/户)_AvgHS,每股资本公积金(元/股)_CapSurFdPS,股东权益周转率(次)_EquRat,产权比率(%)_DbEquRt,权益乘数(%)_EquMul,营业收入3年复合增长率(%)_OperaInc3GrRt
0.0,202.6527,0,0.42,-0.226,3.7804,172966136.0,50.8648,0.7272,31.9717,-109091117.21,20029.0,-4.1178,-3.2417,24103.0,4.4937,2.0064,46.9975,1.47,6.0714
0.0,214.953,0,0.3,0.3978,3.8305,30814621.6,192.1345,0.6494,31.4205,49775971.07,6299.0,164.554,15.8492,19866.0,10.847,0.9012,45.8162,1.4582,31.401
0.0,227.1783,0,0.0394,0.1996,-2.7362,24138430.85,46.2093,0.125,28.8901,122179911.35,54893.0,-94.3695,11.0904,11149.0,0.3353,0.7293,40.6274,1.4063,8.4662
0.0,121.3477,0,0.1454,-0.1912,10.3507,128781073.82,143.5381,1.03,43.3609,-209420753.35,17557.0,13.7938,76.7236,56985.0,1.0078,0.6882,76.5566,1.7656,48.5513
0.0,108.9362,0,0.37,0.6634,24.0542,644315400.16,104.2295,0.7346,47.8615,1145407212.51,135335.0,-36.603,-23.9082,12758.0,0.1906,0.7097,91.7968,1.918,-3.2845
0.0,42.5285,0,0.3244,0.7747,4.6872,360263362.74,584.3576,1.2722,64.6517,860275906.53,52293.0,3.9153,37.4472,21237.0,0.8141,2.4803,182.8988,2.829,21.8458
0.0,217.1369,0,0.01,-0.216,3.6439,2030309.27,46.9958,1.8123,30.8791,-60007556.7,14639.0,-39.4219,20.9743,18977.0,3.6843,1.0722,44.674,1.4467,18.0159
0.0,415.8851,1,0.08,-0.14,6.846,26380094.31,24.7759,1.8619,18.7925,-46390311.77,23673.0,-49.0717,-32.0735,14000.0,0.9653,0.4488,23.1414,1.2314,-25.2315
0.0,223.5334,0,0.93,1.1252,9.3126,91199446.72,46.3818,1.4238,30.9087,112524812.41,20904.0,64.2434,18.3259,4784.0,2.0288,2.7984,44.736,1.4474,16.2363
0.0,449.16,0,0.59,0.2485,12.5692,270105893.73,23.2786,0.5059,18.2096,122938157.15,46880.0,-4.617,-7.1854,10552.0,4.0223,0.7988,22.2638,1.2226,9.996
0.0,78.3661,1,0.005,-0.0133,-2.5479,10536077.88,134.8516,0.378,42.9146,-30014073.49,33965.0,79.3748,16.9732,66680.0,3.9025,0.1606,75.176,1.7518,12.6609
0.0,101.8707,0,0.771,0.8005,18.2116,541317578.26,136.542,0.8304,47.8926,564938804.79,37351.0,28.6398,-19.5301,18895.0,1.7161,0.9306,91.9112,1.9191,10.5396
0.0,187.8617,0,0.43,0.2594,34.0986,492958977.12,56.6515,0.1868,34.5582,294578586.76,37193.0,76.1848,15.0187,30539.0,0.1833,0.7263,52.8076,1.5281,18.9627
0.0,29.8295,0,0.31,0.4718,0.5333,573027173.33,-500.2198,1.4627,77.5345,875701876.46,125669.0,1.7423,90.8908,14769.0,0.2959,3.6695,345.126,4.4513,123.4113
0.0,22.7554,0,1.02,1.2646,53.0612,913220600.49,612.1603,8.2374,74.8044,1133099883.4,78627.0,189.0054,-35.2695,11396.0,0.7968,0.987,296.895,3.969,-35.012
0.0,18.9702,1,0.8927,-4.2682,16.4007,2083492751.19,583.3288,8.5361,82.7028,-9569353120.79,85990.0,35.2838,13.2725,26073.0,1.8073,1.2898,478.127,5.7813,23.0528
0.0,275.267,0,-0.0205,-0.0048,-56.9813,-7477866.4,56.9512,0.0543,26.6477,-1745526.28,20633.0,-398.6981,-21.3651,17646.0,0.1487,0.1969,36.3284,1.3633,-20.9708
0.0,299.1398,0,0.49,0.8354,10.519,136741446.4,34.462,3.8126,25.0539,282687268.6,22388.0,8.192,10.3368,12881.0,5.2958,0.6343,33.4292,1.3343,20.6794
0.0,239.2052,0,0.23,0.49,7.2742,71968330.7,46.1361,0.4745,29.4807,175412156.05,23340.0,-8.365,-0.7675,15338.0,0.8646,1.205,41.8051,1.4181,3.7149
0.0,164.6652,0,0.96,1.7207,13.809,73902055.34,68.1462,2.1205,37.7836,132024625.46,162.0,30.4399,116.058,473635.0,0.3835,1.7645,60.7293,1.6073,-0.9032
0.0,233.5362,0,1.29,1.1757,21.4893,154971075.51,45.1453,1.0801,29.9818,141081601.83,15.0,11.3968,6.6514,8000000.0,0.7589,1.4851,42.8199,1.4282,11.2485
0.0,693.2209,0,2.77,1.4158,27.6835,145267746.87,15.476,3.9383,12.6068,79653881.81,10119.0,79.3163,45.3737,5560.0,7.6879,1.0012,14.4254,1.1443,25.306
0.0,51.0236,1,0.05,-0.0761,0.6622,9661892.44,215.4172,0.2394,66.2148,-15341612.0,22083.0,-39.8018,0.5042,9129.0,0.343,1.932,195.9876,2.9599,3.4737
0.0,260.3151,1,0.0235,0.0139,47.6335,4262212.79,47.8958,0.1617,26.5815,2525491.51,11769.0,284.2109,-4.2929,15422.0,0.3708,0.1985,36.2055,1.3621,-12.0276
0.0,122.7486,0,0.84,0.7945,9.3304,435956331.13,93.2475,0.1153,44.6446,414324326.62,17.0,39.8467,16.2846,30675241.0,0.5653,2.6222,80.6508,1.8065,12.5049
